Month,Station,CDMM
Dec-16,Esperance Aero,169.6
Jan-17,Esperance Aero,183.8
Feb-17,Esperance Aero,342.5
Mar-17,Esperance Aero,332.8
Apr-17,Esperance Aero,304.3
May-17,Esperance Aero,285.5
Jun-17,Esperance Aero,237.9
Jul-17,Esperance Aero,244.3
Aug-17,Esperance Aero,227.7
Sep-17,Esperance Aero,244.5
Oct-17,Esperance Aero,229.1
Nov-17,Esperance Aero,225.5
Dec-17,Esperance Aero,227.7
Jan-18,Esperance Aero,213.9
Feb-18,Esperance Aero,299
Mar-18,Esperance Aero,288.9
Apr-18,Esperance Aero,256.8
May-18,Esperance Aero,225.4
Jun-18,Esperance Aero,211.8
Jul-18,Esperance Aero,198.4
Aug-18,Esperance Aero,285.4
Sep-18,Esperance Aero,273.4
Oct-18,Esperance Aero,281.2
Nov-18,Esperance Aero,295
Dec-18,Esperance Aero,306
Jan-19,Esperance Aero,281.2
Feb-19,Esperance Aero,253.5
Mar-19,Esperance Aero,236.2
Jan-04,Esperance,19.4
Feb-04,Esperance,16.8
Mar-04,Esperance,14.2
Apr-04,Esperance,-4.1
May-04,Esperance,5.4
Jun-04,Esperance,-2.6
Jul-04,Esperance,-39.1
Aug-04,Esperance,-15.8
Sep-04,Esperance,-41.3
Oct-04,Esperance,-78
Nov-04,Esperance,-89.4
Dec-04,Esperance,-105.5
Jan-05,Esperance,-119.9
Feb-05,Esperance,-141.9
Mar-05,Esperance,-153.1
Apr-05,Esperance,-98
May-05,Esperance,-110.9
Jun-05,Esperance,5.1
Jul-05,Esperance,-50.2
Aug-05,Esperance,-53.9
Sep-05,Esperance,-14.6
Oct-05,Esperance,-15.3
Nov-05,Esperance,-21.7
Dec-05,Esperance,-29.8
Jan-06,Esperance,-7.6
Feb-06,Esperance,-10
Mar-06,Esperance,-9.4
Apr-06,Esperance,30.5
May-06,Esperance,6.4
Jun-06,Esperance,-18.4
Jul-06,Esperance,-40.9
Aug-06,Esperance,-98.2
Sep-06,Esperance,-119.3
Oct-06,Esperance,-160
Nov-06,Esperance,-166.2
Dec-06,Esperance,-174.9
Jan-07,Esperance,-4.7
Feb-07,Esperance,-30.3
Mar-07,Esperance,-51.7
Apr-07,Esperance,29.8
May-07,Esperance,7.5
Jun-07,Esperance,-28.1
Jul-07,Esperance,-40
Aug-07,Esperance,-37.9
Sep-07,Esperance,-12.8
Oct-07,Esperance,24.3
Nov-07,Esperance,-7.7
Dec-07,Esperance,17.6
Jan-08,Esperance,-3.4
Feb-08,Esperance,-23
Mar-08,Esperance,-50.2
Apr-08,Esperance,-49.5
May-08,Esperance,-68
Jun-08,Esperance,-115.8
Jul-08,Esperance,-76.3
Aug-08,Esperance,-95.2
Sep-08,Esperance,-54.9
Oct-08,Esperance,-25.2
Nov-08,Esperance,-0.8
Dec-08,Esperance,2.3
Jan-09,Esperance,77.7
Feb-09,Esperance,60.3
Mar-09,Esperance,42.1
Apr-09,Esperance,48.4
May-09,Esperance,22.7
Jun-09,Esperance,54.1
Jul-09,Esperance,48.4
Aug-09,Esperance,4.3
Sep-09,Esperance,27.6
Oct-09,Esperance,-1.3
Nov-09,Esperance,-12.9
Dec-09,Esperance,-28.8
Jan-10,Esperance,-50.2
Feb-10,Esperance,-52.2
Mar-10,Esperance,-61.4
Apr-10,Esperance,-84.5
May-10,Esperance,-69.6
Jun-10,Esperance,-78
Jul-10,Esperance,-79.9
Aug-10,Esperance,-81
Sep-10,Esperance,-116.5
Oct-10,Esperance,-139.6
Nov-10,Esperance,-149.4
Dec-10,Esperance,-151.3
Jan-11,Esperance,-142.5
Feb-11,Esperance,-142.1
Mar-11,Esperance,-137.7
Apr-11,Esperance,-146.6
May-11,Esperance,-170.3
Jun-11,Esperance,-207.9
Jul-11,Esperance,-193
Aug-11,Esperance,-198.1
Sep-11,Esperance,-187.2
Oct-11,Esperance,-187.7
Nov-11,Esperance,-154.1
Dec-11,Esperance,-112
Jan-12,Esperance,-108.6
Feb-12,Esperance,-119.6
Mar-12,Esperance,-101
Apr-12,Esperance,-117.5
May-12,Esperance,-136.4
Jun-12,Esperance,-126.8
Jul-12,Esperance,-153.7
Aug-12,Esperance,-130.2
Sep-12,Esperance,-124.1
Oct-12,Esperance,-157.2
Nov-12,Esperance,-134.6
Dec-12,Esperance,-139.7
Jan-13,Esperance,-142.5
Feb-13,Esperance,-156.9
Mar-13,Esperance,-41.7
Apr-13,Esperance,-41.8
May-13,Esperance,-0.9
Jun-13,Esperance,-33.1
Jul-13,Esperance,-40.6
Aug-13,Esperance,16.3
Sep-13,Esperance,24.4
Oct-13,Esperance,48.1
Nov-13,Esperance,32.5
Dec-13,Esperance,43
Jan-14,Esperance,24
Feb-14,Esperance,3
Mar-14,Esperance,-21
Apr-14,Esperance,-48.3
May-14,Esperance,-20.8
Jun-14,Esperance,-42.2
Jul-14,Esperance,3.7
Aug-14,Esperance,-36.4
Sep-14,Esperance,-63.1
Oct-14,Esperance,-29.8
Nov-14,Esperance,-16.2
Dec-14,Esperance,-14.7
Jan-15,Esperance,-38.9
